/home/user/dataset/DFEW/image/00001 144 1 0.093,0.291,0.951,0.064,0.015,0.99,0.029,0.001,0.0,0.101,0.078,0.182,0.075,0.055,0.305,0.148,0.163, 0.16,0.229,1.0,0.146,0.0,1.0,0.0,0.0,0.0,0.056,0.056,0.069,0.0,0.778,0.118,0.007,0.0,0.146,
/home/user/dataset/DFEW/image/00002 70 6 0.095,0.054,0.307,0.029,0.524,0.198,0.046,1.031,0.252,0.801,0.238,0.379,0.146,0.085,0.297,0.47,0.197, 0.057,0.143,0.257,0.0,0.0,0.186,0.0,0.114,0.186,0.343,0.171,0.157,0.143,0.171,0.243,0.157,0.0,0.143,
/home/user/dataset/DFEW/image/00004 48 1 0.054,0.03,2.356,0.017,0.384,0.437,0.087,0.579,0.0,0.381,0.129,1.145,0.072,0.042,0.335,0.416,0.361, 0.0,0.0,1.0,0.0,0.562,1.0,0.062,0.125,0.0,0.25,0.0,0.521,0.021,0.229,0.396,0.208,0.0,0.125,
/home/user/dataset/DFEW/image/00006 48 5 0.255,0.185,0.636,0.039,0.017,0.321,0.34,0.526,0.564,0.201,0.355,0.541,0.155,0.109,0.987,1.173,0.201, 0.417,0.479,1.0,0.521,0.0,0.271,0.312,0.25,0.229,0.188,0.146,0.083,0.0,0.229,0.458,0.229,0.083,0.083,
/home/user/dataset/DFEW/image/00007 96 5 0.405,0.172,0.983,0.108,0.47,1.187,0.106,1.86,0.174,0.272,0.366,0.848,0.129,0.24,1.105,0.499,0.132, 0.271,0.25,0.719,0.938,0.51,0.729,0.073,0.885,0.0,0.333,0.438,0.417,0.073,0.094,0.375,0.24,0.0,0.24,
/home/user/dataset/DFEW/image/00008 48 1 0.135,0.063,1.76,0.108,0.544,0.677,0.14,0.41,0.665,0.006,0.639,0.869,0.335,0.114,0.729,0.892,0.159, 0.0,0.0,0.979,0.146,0.0,0.0,0.021,0.0,0.583,0.0,0.146,0.688,0.521,0.0,0.229,0.042,0.0,0.271,
/home/user/dataset/DFEW/image/00010 96 3 0.242,0.119,1.123,0.095,0.024,1.109,0.037,0.235,0.002,0.067,0.273,0.393,0.096,0.353,0.461,0.758,0.645, 0.094,0.094,0.948,0.844,0.0,0.208,0.0,0.0,0.0,0.0,0.188,0.281,0.073,0.312,0.167,0.062,0.021,0.396,
/home/user/dataset/DFEW/image/00011 24 2 0.054,0.056,0.0,0.031,0.013,0.9,0.04,1.08,0.095,0.0,0.072,0.378,0.097,0.06,0.208,0.173,0.078, 0.0,0.0,0.125,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.125,0.042,0.0,0.0,0.0,0.0,0.0,
/home/user/dataset/DFEW/image/00012 32 2 0.057,0.013,0.0,0.062,0.009,0.0,0.019,0.331,0.091,0.385,0.051,0.383,0.034,0.036,0.164,0.158,0.057, 0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.094,0.312,0.031,0.594,0.031,0.0,0.0,0.0,
/home/user/dataset/DFEW/image/00013 48 6 0.112,0.112,0.973,0.095,0.017,0.0,0.218,0.139,0.0,0.224,1.001,0.465,0.224,0.18,0.68,0.399,0.157, 0.375,0.208,0.896,0.354,0.0,0.042,0.146,0.0,0.0,0.167,0.417,0.354,0.167,0.062,0.354,0.458,0.0,0.0,
/home/user/dataset/DFEW/image/00015 57 5 0.336,0.208,0.384,0.04,0.012,0.001,0.068,0.433,0.125,0.004,0.156,0.451,0.19,0.185,0.517,0.3,0.518, 0.088,0.0,0.246,0.649,0.0,0.0,0.0,0.351,0.018,0.0,0.368,0.456,0.053,0.0,0.368,0.193,0.0,0.439,
/home/user/dataset/DFEW/image/00016 104 3 0.224,0.094,1.355,0.067,0.0,0.025,0.055,0.082,0.13,1.1,0.152,0.31,0.104,0.14,0.557,0.402,0.175, 0.125,0.144,0.625,0.212,0.0,0.077,0.0,0.0,0.0,0.356,0.115,0.163,0.125,0.0,0.163,0.125,0.0,0.183,
/home/user/dataset/DFEW/image/00018 134 0 0.122,0.101,1.058,0.05,0.232,0.176,0.071,0.381,0.191,0.056,0.748,0.392,0.245,0.254,1.132,0.63,0.199, 0.336,0.336,1.0,0.47,0.157,0.157,0.47,0.343,0.0,0.56,0.493,0.0,0.224,0.254,0.336,0.478,0.0,0.0,
/home/user/dataset/DFEW/image/00019 50 2 0.177,0.05,1.232,0.045,0.062,0.25,0.057,0.0,0.0,0.0,0.111,0.393,0.058,0.057,0.138,0.216,0.157, 0.08,0.08,0.08,0.84,0.0,0.28,0.0,0.0,0.0,0.0,0.02,0.16,0.0,0.22,0.3,0.0,0.0,0.18,
/home/user/dataset/DFEW/image/00020 51 5 0.239,0.218,0.231,0.047,0.941,0.985,0.069,1.849,0.072,0.235,0.544,0.574,0.208,0.309,0.622,0.407,0.111, 0.137,0.275,0.627,0.902,0.686,0.02,0.118,0.216,0.0,0.0,0.118,0.314,0.431,0.059,0.157,0.0,0.0,0.235,
/home/user/dataset/DFEW/image/00021 48 0 0.057,0.092,0.01,0.019,0.049,0.027,0.022,0.0,0.555,1.194,0.086,0.226,0.119,0.029,0.182,0.23,0.059, 0.042,0.229,0.0,1.0,0.0,0.917,0.0,0.0,0.0,0.25,0.208,0.333,0.0,0.0,0.104,0.0,0.0,0.0,
